IPTV,#genre#
天津卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.141:5146
山东卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.142:5146
江西卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.219:5146
湖北卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.93:5146
辽宁卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.103:5146
黑龙江卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.6:5146
四川卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.215:5146
河南卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.229:5146
重庆卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.162:5146
河北卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.214:5146
广西卫视,http://108m64s098.yicp.fun:8808/rtp/239.253.43.36:5146
吉林卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.111:5146
陕西卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.0.68:5146
山西卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.0.69:5146
内蒙古卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.0.70:5146
青海卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.0.71:5146
海南卫视,http://108m64s098.yicp.fun:8808/rtp/239.253.43.35:5146
海南卫视,http://108m64s098.yicp.fun:8808/rtp/239.253.43.101:5146
宁夏卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.0.73:5146
西藏卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.0.74:5146
新疆卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.0.75:5146
甘肃卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.0.189:5146
兵团卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.0.77:5146
兵团卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.80:5146
厦门卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.0.96:5146
三沙卫视,http://108m64s098.yicp.fun:8808/rtp/239.253.43.113:5146
延边卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.0.10:5146
广东卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.19:5146
广东卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.1.152:5146
广东卫视,http://108m64s098.yicp.fun:8808/rtp/239.77.0.84:5146
